" "," ",module,Magento_ImportExport
"Set a New Password","Nieuw wachtwoord instellen",module,Magento_Customer
"Set address as default billing","Set address as default billing",module,Magento_Customer
"Set address as default shipping","Set address as default shipping",module,Magento_Customer
"Set as Default","Instellen als standaard",module,Magento_Backend
"Set as Inactive","Set as Inactive",module,Magento_Company
"Set as default billing","Set as default billing",module,Magento_Customer
"Set as default shipping","Set as default shipping",module,Magento_Customer
"Set order for existing transactions not allowed","Stel bestelling in voor bestaande transacties niet toegestaan",module,Magento_Sales
"Set root category for this store in the <a href=%1"">configuration</a>.""","Stel rootcategorie voor deze store in in de <a href=%1"">configuratie</a>.""",module,Magento_Catalog
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again.",module,Magento_Multishipping
"Set the number of links to display at one time.","Stel het aantal links in om tegelijk weer te geven.",module,Magento_VersionsCms
"Set this value equal or greater to your Magento cron job launch period.","Stel deze waarde in die groter of gelijk is aan uw Magento cron taak lancering periode.",module,Magento_Reminder
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.",module,Magento_Weee
Settings,Instellingen,module,Magento_Theme
Settled,Afgehandeld,module,Magento_Braintree
"Settlement Batch ID","Akkoord Batch ID",module,Magento_Braintree
"Settlement Code","Akkoord code",module,Magento_Braintree
"Settlement Consolidation",Consolidatieschikking,module,Magento_Paypal
"Settlement Report Settings","Afwikkeling rapportinstellingen",module,Magento_Paypal
"Settlement Response Text","Akkoord antwoord tekst",module,Magento_Braintree
"Settlement amount is too large.","Het vereffeningsbedrag is te groot.",module,Magento_Braintree
"Settlement confirmed","Afhandeling bevestigd",module,Magento_Braintree
"Settlement declined","Afhandeling afgewezen",module,Magento_Braintree
"Settlement of a chargeback.","Afwikkeling van een terugboeking.",module,Magento_Paypal
"Settlement pending","Afhandeling lopend",module,Magento_Braintree
Settling,Afhandeling,module,Magento_Braintree
Severity,Severity,module,Magento_AdminNotification
Shape,Vorm,module,Magento_Paypal
Share,Delen,module,Magento_Staging
"Share '%1' Gift Registry","Deel '%1' mijn verlanglijst",module,Magento_GiftRegistry
"Share Customer Accounts","Klantaccounts delen",module,Magento_Customer
"Share Gift Registry","Aanmelden Cadeau Delen",module,Magento_GiftRegistry
"Share Options",Deelopties,module,Magento_Wishlist
"Share Preview Link","Voorvertoning link delen",module,Magento_Staging
"Share Wish List","Verlanglijstje delen",module,Magento_Wishlist
Shareable,Shareable,module,Magento_Downloadable
"Shared Catalog","Gedeelde catalogus",module,Magento_SharedCatalog
"Shared Catalog (or Customer Group)","Gedeelde catalogus (of klantgroep)",module,Magento_NegotiableQuoteSharedCatalog
"Shared Catalog Information","Gedeelde catalogusinformatie",module,Magento_SharedCatalog
"Shared Catalogs","Gedeelde catalogussen",module,Magento_SharedCatalog
Sharing,Delen,module,Magento_Reminder
"Sharing Information","Informatie delen",module,Magento_Wishlist
Ship,Verzend,module,Magento_Shipping
"Ship Bundle Items","Verzend bundelitems",module,Magento_Bundle
"Ship Date",Verzenddatum,module,Magento_Sales
"Ship From","Bezorg vanaf",module,Magento_Rma
"Ship Here","Ship Here",module,Magento_NegotiableQuote
"Ship To","Verzenden naar",module,Magento_Sales
"Ship To:","Verzenden naar:",module,Magento_Checkout
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn",module,Magento_Usps
"Ship to Multiple Addresses","Naar meerdere adressen verzenden",module,Magento_Multishipping
"Ship to Recipient Address","Verzend naar adres van geadresseerde",module,Magento_GiftRegistry
"Ship to Specific Countries","Verzenden naar specifieke landen",module,Magento_Usps
"Ship to registrant's address","Verzenden naar het adres van de registreerder",module,Magento_GiftRegistry
"Ship to the recipient's address.","Verzenden naar het adres van de geadresseerde.",module,Magento_GiftRegistry
"Ship to:","Verzonden naar:",module,Magento_Sales
"Ship-to Name","Naam ontvanger",module,Magento_Sales
Shipment,Verzending,module,Magento_Sales
"Shipment #","Zending #",module,Magento_Shipping
"Shipment #%1","Verzending #%1",module,Magento_Sales
"Shipment #%1 comment added","Verzending #%1 opmerking toegevoegd",module,Magento_Sales
"Shipment #%1 created","Verzending #%1 aangemaakt",module,Magento_Sales
"Shipment #%1 | %3 (%2)","Verzending #%1 | %3 (%2)",module,Magento_Shipping
"Shipment Comment Email Sender","E-mailafzender opmerking verzending",module,Magento_Sales
"Shipment Comment Email Template","E-mailtemplate opmerking verzending",module,Magento_Sales
"Shipment Comment Email Template for Guest","E-mailtemplate opmerking verzending voor gast",module,Magento_Sales
"Shipment Comments","Opmerkingen verzending",module,Magento_Sales
"Shipment Email Sender","Afzender e-mail verzending",module,Magento_Sales
"Shipment Email Template","E-mailtemplate verzending",module,Magento_Sales
"Shipment Email Template for Guest","E-mailtemplate verzending voor gast",module,Magento_Sales
"Shipment History",Verzendgeschiedenis,module,Magento_Shipping
"Shipment Options","Verzending opties",module,Magento_Shipping
"Shipment Total","Verzending totaal",module,Magento_Shipping
"Shipment does not exists.","Zending bestaat niet.",module,Magento_Rma
Shipments,Verzendingen,module,Magento_Shipping
Shipped,Verzonden,module,Magento_Sales
"Shipped By","Verzonden door",module,Magento_Sales
"Shipped or billed on:","Verzonden of gefactureerd op:",module,Magento_Shipping
"Shipper Number","Nummer vervoerder",module,Magento_Ups
Shipping,Verzending,module,Magento_Checkout
"Shipping & Handling","Verzending & afhandeling",module,Magento_Sales
"Shipping & Handling (%1)","Verzending & behandeling(%1)",module,Magento_offerte
"Shipping & Handling (Excl.Tax)","Verzending & afhandeling (Excl. BTW)",module,Magento_Tax
"Shipping & Handling (Incl.Tax)","Verzending & afhandeling (Incl. BTW)",module,Magento_Tax
"Shipping &amp; Handling","Verzending &amp; afhandeling",module,Magento_Sales
"Shipping &amp; Handling Information","Verzending &amp; Afhandeling informatie",module,Magento_Shipping
"Shipping (Excl. Tax)","Verzending (Excl. BTW)",module,Magento_Tax
"Shipping (Incl. Tax)","Verzending (Incl. BTW)",module,Magento_Tax
"Shipping Address",Afleveradres,module,Magento_Checkout
"Shipping Address:",Afleveradres:,module,Magento_Checkout
"Shipping Address: ","Afleveradres: ",module,Magento_Sales
"Shipping Amount",Verzendkosten,module,Magento_Sales
"Shipping Country","Land afleveradres",module,Magento_SalesRule
"Shipping Excl. Tax (%1)","Verzending excl. BTW (%1)",module,Magento_Tax
"Shipping Incl. Tax (%1)","Verzending incl. BTW (%1)",module,Magento_Tax
"Shipping Info",Verzendinformatie,theme,frontend/Magento/luma
"Shipping Information",Verzendinformatie,module,Magento_Shipping
"Shipping Labels are not allowed.","Bezorg Lavels zijn niet toegestaan.",module,Magento_Rma
"Shipping Method",Verzendmethode,theme,frontend/Magento/luma
"Shipping Method:",Verzendmethode:,module,Magento_Checkout
"Shipping Methods",Verzendmethodes,module,Magento_Shipping
"Shipping Methods & Price","Verzendmethodes & Verzendkosten",module,Magento_NegotiableQuote
"Shipping Methods Section","Verzendmethoden gedeelte",module,Magento_Shipping
"Shipping Origin","Verzending herkomst",module,Magento_Tax
"Shipping Policy",Verzendbeleid,module,Magento_Shipping
"Shipping Policy Parameters","Parameters verzendbeleid",module,Magento_Shipping
"Shipping Policy Parameters Section","Verzendingsbeleid parameters gedeelte",module,Magento_Shipping
"Shipping Postcode","Postcode afleveradres",module,Magento_SalesRule
"Shipping Price",Verzendkosten,module,Magento_OfflineShipping
"Shipping Prices",Verzendkosten,module,Magento_Tax
"Shipping Refund","Verzending restitutie",module,Magento_Sales
"Shipping Region","Regio afleveradres",module,Magento_SalesRule
"Shipping Report","Verzending rapport",module,Magento_Reports
"Shipping Settings",Verzendinstellingen,module,Magento_Shipping
"Shipping Settings Section","Verzendingsinstellingen gedeelte",module,Magento_Shipping
"Shipping State/Province","Provincie afleveradres",module,Magento_SalesRule
"Shipping To","Verzenden naar",module,Magento_Multishipping
"Shipping address",Verzendadres,module,Magento_NegotiableQuote
"Shipping address is not defined for instance purchase.","Verzendadres is niet gedefinieerd voor onmiddellijke aankoop.",module,Magento_InstantPurchase
"Shipping address is not set","Bezorgadres is niet ingesteld",module,Magento_offerte
"Shipping address not set.","Leveringsadres is niet ingesteld.",module,Magento_offerte
"Shipping and Handling","Verzending en verwerking",module,Magento_Sales
"Shipping and Tracking Information","Verzending en tracking informatie",module,Magento_Shipping
"Shipping is not applicable.","Verzending is niet toepasbaar.",module,Magento_Multishipping
"Shipping labels can't be created. Verify that the store information and settings are complete and try again.","Shipping labels can't be created. Verify that the store information and settings are complete and try again.",module,Magento_Shipping
"Shipping labels is not available.","Verzendlabel is niet beschikbaar.",module,Magento_Shipping
"Shipping method",Verzendmethode,module,Magento_NegotiableQuote
"Shipping method cannot be set for a virtual quote.","Verzendmethode kan niet worden ingesteld voor een virtuele offerte.",module,Magento_NegotiableQuote
"Shipping method is not applicable for empty cart","Leveringsmethode is niet toepasbaar voor lege winkelwagen",module,Magento_offerte
"Shipping method is not defined for instance purchase.","Verzendmethode is niet gedefinieerd voor onmiddellijke aankoop.",module,Magento_InstantPurchase
"Shop By","Winkelen per",theme,frontend/Magento/luma
"Shop now using (150 X 40)","Shop gebruikt nu (150 X 40)",module,Magento_Paypal
"Shop now using (150 X 60)","Shop gebruikt nu (150 X 60)",module,Magento_Paypal
"Shopping Cart",Winkelwagen,module,Magento_Sales
"Shopping Cart %1 Amount %2 %3:","Winkelenwagen %1 bedrag %2 %3:",module,Magento_CustomerSegment
"Shopping Cart Display Settings","Weergave-instellingen winkelwagen",module,Magento_Tax
"Shopping Cart Items","Items winkelwagen",module,Magento_Checkout
"Shopping Cart Management",Winkelwagenbeheer,module,Magento_AdvancedCheckout
"Shopping Cart Products Qty %1 %2:","Aantal producten in winkelwagen %1 %2:",module,Magento_CustomerSegment
"Shopping Cart Sidebar","Zijbalk winkelwagen",module,Magento_Checkout
"Shopping Cart Total","Winkelwagen Totaal",module,Magento_CustomerSegment
"Shopping Cart for %1 in %2","Winkelwagen voor %1 in %2",module,Magento_AdvancedCheckout
"Shopping Cart from %1","Winkelwagen van %1",module,Magento_Customer
"Shopping Options",Winkelmogelijkheden,theme,frontend/Magento/luma
"Shopping cart","Shopping cart",module,Magento_Sales
"Shopping cart %1 a coupon applied","Winkelwagen %1 een coupon ingediend",module,Magento_Reminder
"Shopping cart %1 amount %2 %3:","Winkelenwagen %1 bedrag %2 %3:",module,Magento_Reminder
"Shopping cart %1 only virtual items","Winkelwagen %1 alleen virtuele artikelen",module,Magento_Reminder
"Shopping cart error: %message","Winkelwagen fout: %message",module,Magento_QuoteGraphQl
"Shopping cart is not empty and abandoned %1 %2 days and %3 of these conditions match:","Winkelwagen is niet leeg en verlaten %1 %2 dagen en %3 van deze condities overeenkomen:",module,Magento_Reminder
"Shopping cart items have been added to gift registry.","Producten in Winkelwagen zijn toegevoegd aan Cadeau Registratie.",module,Magento_GiftRegistry
"Shopping cart management is disabled for this customer.","Winkelwagenbeheer uitgeschakeld voor deze klant.",module,Magento_AdvancedCheckout
Short,Kort,module,Magento_GiftRegistry
Shortcut,Shortcut,module,Magento_Paypal
"Shortcut Buttons Flavor","Shortcut Buttons Flavor",module,Magento_Paypal
Show,Weergeven,module,Magento_Theme
"Show Active Users","Show Active Users",module,Magento_Company
"Show Actual Values","Toon werkelijke waarden",module,Magento_Sales
"Show All Orders","Toon alle bestellingen",module,Magento_NegotiableQuote
"Show All Quotes","Show All Quotes",module,Magento_NegotiableQuote
"Show All Users","Show All Users",module,Magento_Company
"Show Breadcrumbs for CMS Pages","Toon broodkruimels voor CMS-pagina's",module,Magento_Cms
"Show By","Weergeven per",module,Magento_Reports
"Show Company","Toon Bedrijfsnaam",module,Magento_Customer
"Show Content as","Toon content als",module,Magento_CheckoutAgreements
"Show Cross-Sell Products","laat tegenovergestelde producten zien",module,Magento_TargetRule
"Show Cross-sell Items in the Shopping Cart","Toon Cross-sell items in de Winkelwagen",module,Magento_Checkout
"Show Date of Birth","Toon geboortedatum",module,Magento_Customer
